verb,first_frame_diff,total_intersection,total_union,accuracy_2,accuracy_all,recall,precision,f1_0,f1_1,f1_2,f1_macro,f1_micro
rolling,15,19,34,0.625,0.55,0.5588235259056091,1.0,0.0,0.25,0.7169811129570007,0.32232704758644104,0.550000011920929
rolling,5,10,23,0.675000011920929,0.55,0.6666666865348816,0.5555555820465088,0.0,0.7058823704719543,0.6060606241226196,0.43731436133384705,0.550000011920929
squeezing,10,8,18,0.75,0.5,1.0,0.4444444477558136,0.1666666716337204,0.523809552192688,0.6153846383094788,0.4352869689464569,0.5
squeezing,1,18,19,0.9750000238418579,0.725,0.9473684430122375,1.0,0.6153846383094788,0.3529411852359772,0.9729729890823364,0.6470996141433716,0.7250000238418579
mashing,19,0,19,0.5249999761581421,0.325,0.0,0.0,0.3529411852359772,0.5185185074806213,0.0,0.29048657417297363,0.32499998807907104
mashing,17,2,19,0.574999988079071,0.525,1.0,0.10526315867900848,0.8333333134651184,0.5957446694374084,0.190476194024086,0.5398513674736023,0.5249999761581421
roasting,5,13,18,0.875,0.625,1.0,0.7222222089767456,0.0,0.6315789222717285,0.8387096524238586,0.49009618163108826,0.625
roasting,16,0,16,0.6000000238418579,0.375,0.0,0.0,0.0,0.5454545617103577,0.0,0.1818181872367859,0.375
peeling,30,0,30,0.4117647111415863,0.27450980392156865,0.0,0.0,0.0,0.4307692348957062,0.0,0.14358974993228912,0.27450981736183167
peeling,7,11,18,0.824999988079071,0.65,1.0,0.6111111044883728,0.6666666865348816,0.5333333611488342,0.7586206793785095,0.6528735756874084,0.6499999761581421
chopping,3,1,21,0.5,0.275,0.25,0.0555555559694767,0.380952388048172,0.25,0.09090909361839294,0.24062049388885498,0.2750000059604645
chopping,1,1,19,0.550000011920929,0.3,0.5,0.0555555559694767,0.3414634168148041,0.42105263471603394,0.10000000149011612,0.2875053584575653,0.30000001192092896
peeling,10,2,18,0.6000000238418579,0.325,1.0,0.1111111119389534,0.42553192377090454,0.1538461595773697,0.20000000298023224,0.259792685508728,0.32499998807907104
peeling,3,2,18,0.6000000238418579,0.5,1.0,0.1111111119389534,0.4848484992980957,0.7407407164573669,0.20000000298023224,0.4751964509487152,0.5
peeling,19,0,19,0.5249999761581421,0.15,0.0,0.0,0.375,0.0,0.0,0.125,0.15000000596046448
peeling,11,19,30,0.7250000238418579,0.6,0.6333333253860474,1.0,0.0,0.38461539149284363,0.7755101919174194,0.386708527803421,0.6000000238418579
chopping,7,4,25,0.4749999940395355,0.25,0.3636363744735718,0.2222222238779068,0.0,0.4285714328289032,0.27586206793785095,0.23481117188930511,0.25
chopping,18,0,18,0.550000011920929,0.525,0.0,0.0,0.9333333373069763,0.5957446694374084,0.0,0.5096926689147949,0.5249999761581421
squeezing,18,0,18,0.550000011920929,0.475,0.0,0.0,0.47058823704719543,0.6666666865348816,0.0,0.379084974527359,0.4749999940395355
squeezing,8,10,18,0.800000011920929,0.55,1.0,0.5555555820465088,0.5600000023841858,0.37037035822868347,0.7142857313156128,0.5482186675071716,0.550000011920929
crushing,16,0,31,0.22499999403953552,0.05,0.0,0.0,0.13333334028720856,0.0,0.0,0.04444444552063942,0.05000000074505806
crushing,18,0,18,0.550000011920929,0.325,0.0,0.0,0.6086956262588501,0.3076923191547394,0.0,0.30546262860298157,0.32499998807907104
melting,19,0,19,0.5249999761581421,0.125,0.0,0.0,0.13333334028720856,0.19354838132858276,0.0,0.10896056890487671,0.125
melting,16,3,19,0.6000000238418579,0.15,1.0,0.15789473056793213,0.0,0.23076923191547394,0.27272728085517883,0.1678321808576584,0.15000000596046448
mincing,5,13,18,0.875,0.675,1.0,0.7222222089767456,0.5,0.6206896305084229,0.8387096524238586,0.6531330943107605,0.675000011920929
mincing,2,15,20,0.875,0.625,0.8823529481887817,0.8333333134651184,0.0,0.625,0.8571428656578064,0.4940476417541504,0.625
roasting,15,2,17,0.625,0.35,1.0,0.11764705926179886,0.31578946113586426,0.52173912525177,0.21052631735801697,0.3493516445159912,0.3499999940395355
roasting,1,14,19,0.875,0.55,0.9333333373069763,0.7777777910232544,0.0,0.5333333611488342,0.8484848737716675,0.46060609817504883,0.550000011920929
slicing,19,0,19,0.5249999761581421,0.325,0.0,0.0,0.6363636255264282,0.3076923191547394,0.0,0.31468531489372253,0.32499998807907104
slicing,15,9,24,0.6739130616188049,0.391304347826087,1.0,0.375,0.0,0.3913043439388275,0.5454545617103577,0.3122529685497284,0.3913043439388275
slicing,7,7,19,0.699999988079071,0.575,1.0,0.3684210479259491,0.0,0.7272727489471436,0.5384615659713745,0.42191144824028015,0.574999988079071
slicing,7,3,21,0.550000011920929,0.3,0.6000000238418579,0.15789473056793213,0.23529411852359772,0.4545454680919647,0.25,0.3132798671722412,0.30000001192092896
melting,1,18,19,0.9750000238418579,0.65,1.0,0.9473684430122375,0.4166666567325592,0.31578946113586426,0.9729729890823364,0.5684763789176941,0.6499999761581421
melting,0,18,18,1.0,0.875,1.0,1.0,0.761904776096344,0.782608687877655,1.0,0.8481711745262146,0.875
grating,9,3,18,0.625,0.55,1.0,0.1666666716337204,0.6086956262588501,0.6666666865348816,0.2857142984867096,0.5203588604927063,0.550000011920929
grating,12,2,18,0.6000000238418579,0.45,1.0,0.1111111119389534,0.3888888955116272,0.75,0.20000000298023224,0.4462963044643402,0.44999998807907104
peeling,2,17,19,0.949999988079071,0.8,1.0,0.8947368264198303,0.0,0.7894737124443054,0.9444444179534912,0.5779727101325989,0.800000011920929
peeling,7,12,19,0.824999988079071,0.6,1.0,0.6315789222717285,0.47058823704719543,0.5,0.774193525314331,0.581593930721283,0.6000000238418579
peeling,5,10,23,0.675000011920929,0.6,0.6666666865348816,0.5555555820465088,0.42105263471603394,0.7142857313156128,0.6060606241226196,0.5804663300514221,0.6000000238418579
peeling,3,18,21,0.925000011920929,0.725,0.8571428656578064,1.0,0.0,0.6666666865348816,0.9230769276618958,0.5299145579338074,0.7250000238418579
peeling,3,16,19,0.925000011920929,0.775,1.0,0.8421052694320679,0.0,0.7692307829856873,0.9142857193946838,0.5611721873283386,0.7749999761581421
peeling,1,10,19,0.7749999761581421,0.625,1.0,0.5263158082962036,0.4615384638309479,0.7200000286102295,0.6896551847457886,0.6237311959266663,0.625
sauteing,15,0,15,0.625,0.425,0.0,0.0,0.5454545617103577,0.5,0.0,0.3484848439693451,0.42500001192092896
sauteing,17,0,17,0.574999988079071,0.175,0.0,0.0,0.3888888955116272,0.0,0.0,0.12962962687015533,0.17499999701976776
squeezing,0,14,19,0.875,0.625,1.0,0.7368420958518982,0.3478260934352875,0.5833333134651184,0.8484848737716675,0.593214750289917,0.625
squeezing,11,15,27,0.699999988079071,0.5,0.6521739363670349,0.7894737124443054,0.0,0.38461539149284363,0.7142857313156128,0.3663003742694855,0.5
mashing,1,19,20,0.9750000238418579,0.825,0.949999988079071,1.0,0.0,0.800000011920929,0.9743589758872986,0.5914530158042908,0.824999988079071
mashing,9,9,18,0.7749999761581421,0.625,1.0,0.5,0.0,0.7272727489471436,0.6666666865348816,0.46464648842811584,0.625
frying,6,0,24,0.4000000059604645,0.15,0.0,0.0,0.0,0.4285714328289032,0.0,0.1428571492433548,0.15000000596046448
frying,7,6,18,0.699999988079071,0.45,1.0,0.3333333432674408,0.4444444477558136,0.4137931168079376,0.5,0.45274582505226135,0.44999998807907104
slicing,11,7,18,0.7250000238418579,0.525,1.0,0.3888888955116272,0.0,0.5957446694374084,0.5600000023841858,0.38524821400642395,0.5249999761581421
slicing,1,18,19,0.9750000238418579,0.825,1.0,0.9473684430122375,0.0,0.8108108043670654,0.9729729890823364,0.5945945978164673,0.824999988079071
chopping,4,12,19,0.824999988079071,0.625,1.0,0.6315789222717285,0.5600000023841858,0.5,0.774193525314331,0.6113978028297424,0.625
chopping,8,5,19,0.6499999761581421,0.45,1.0,0.2631579041481018,0.2222222238779068,0.5789473652839661,0.4166666567325592,0.40594542026519775,0.44999998807907104
rolling,6,13,19,0.8500000238418579,0.75,1.0,0.6842105388641357,0.6000000238418579,0.7368420958518982,0.8125,0.7164473533630371,0.75
rolling,19,21,40,0.688524603843689,0.5901639344262295,1.0,0.5249999761581421,0.0,0.5454545617103577,0.688524603843689,0.41132640838623047,0.5901639461517334
sauteing,16,0,16,0.6000000238418579,0.6,0.0,0.0,1.0,0.7037037014961243,0.0,0.5679011940956116,0.6000000238418579
sauteing,18,0,18,0.550000011920929,0.225,0.0,0.0,0.25641027092933655,0.3478260934352875,0.0,0.2014121264219284,0.22499999403953552
blending,19,0,19,0.5249999761581421,0.35,0.0,0.0,0.0,0.6363636255264282,0.0,0.21212120354175568,0.3499999940395355
blending,4,14,18,0.8999999761581421,0.75,1.0,0.7777777910232544,0.6666666865348816,0.6666666865348816,0.875,0.7361111640930176,0.75
rolling,41,1,42,0.33870968222618103,0.3064516129032258,1.0,0.02380952425301075,0.0,0.4556961953639984,0.04651162773370743,0.16740261018276215,0.30645161867141724
rolling,3,20,23,0.925000011920929,0.6,0.8695651888847351,1.0,0.23529411852359772,0.20000000298023224,0.930232584476471,0.4551755487918854,0.6000000238418579
rolling,9,10,19,0.7749999761581421,0.725,1.0,0.5263158082962036,0.0,0.7755101919174194,0.6896551847457886,0.48838844895362854,0.7250000238418579
rolling,6,13,19,0.8500000238418579,0.825,1.0,0.6842105388641357,0.8571428656578064,0.8292682766914368,0.8125,0.832970380783081,0.824999988079071
slicing,5,5,18,0.675000011920929,0.5,1.0,0.2777777910232544,0.5454545617103577,0.5,0.43478259444236755,0.4934123754501343,0.5
slicing,5,13,18,0.875,0.65,1.0,0.7222222089767456,0.0,0.6666666865348816,0.8387096524238586,0.5017921328544617,0.6499999761581421
slicing,19,0,19,0.5249999761581421,0.375,0.0,0.0,0.0,0.5454545617103577,0.0,0.1818181872367859,0.375
slicing,6,6,19,0.675000011920929,0.375,1.0,0.31578946113586426,0.3333333432674408,0.31578946113586426,0.47999998927116394,0.3763742744922638,0.375
peeling,10,18,28,0.75,0.575,0.6428571343421936,1.0,0.0,0.37037035822868347,0.782608687877655,0.38432633876800537,0.574999988079071
peeling,9,18,27,0.7749999761581421,0.675,0.6666666865348816,1.0,0.3333333432674408,0.5517241358757019,0.800000011920929,0.5616858005523682,0.675000011920929
grating,18,0,18,0.550000011920929,0.2,0.0,0.0,0.05882352963089943,0.5,0.0,0.18627451360225677,0.20000000298023224
grating,10,4,18,0.6499999761581421,0.275,1.0,0.2222222238779068,0.22857142984867096,0.260869562625885,0.3636363744735718,0.2843591272830963,0.2750000059604645
slicing,4,15,19,0.8999999761581421,0.75,1.0,0.7894737124443054,0.0,0.75,0.8823529481887817,0.5441176295280457,0.75
slicing,2,0,20,0.5,0.3,0.0,0.0,0.40909090638160706,0.375,0.0,0.2613636255264282,0.30000001192092896
slicing,0,19,19,1.0,0.9,1.0,1.0,0.0,0.8947368264198303,1.0,0.6315789222717285,0.8999999761581421
slicing,0,19,19,1.0,0.875,1.0,1.0,0.0,0.8648648858070374,1.0,0.6216216087341309,0.875
squeezing,8,8,18,0.75,0.45,1.0,0.4444444477558136,0.0,0.5,0.6153846383094788,0.37179484963417053,0.44999998807907104
squeezing,15,3,18,0.625,0.5,1.0,0.1666666716337204,0.6666666865348816,0.5365853905677795,0.2857142984867096,0.4963221251964569,0.5
coating,18,0,18,0.550000011920929,0.375,0.0,0.0,0.125,0.6086956262588501,0.0,0.2445652037858963,0.375
coating,18,0,18,0.550000011920929,0.175,0.0,0.0,0.2857142984867096,0.19512194395065308,0.0,0.16027875244617462,0.17499999701976776
sauteing,17,0,17,0.574999988079071,0.175,0.0,0.0,0.4137931168079376,0.05882352963089943,0.0,0.15753887593746185,0.17499999701976776
sauteing,17,0,17,0.574999988079071,0.2,0.0,0.0,0.21052631735801697,0.27272728085517883,0.0,0.16108453273773193,0.20000000298023224
blending,18,0,18,0.550000011920929,0.425,0.0,0.0,0.42424243688583374,0.6896551847457886,0.0,0.3712991774082184,0.42500001192092896
blending,13,19,32,0.675000011920929,0.6,0.59375,1.0,0.6666666865348816,0.20000000298023224,0.7450980544090271,0.5372548699378967,0.6000000238418579
mashing,15,17,28,0.7250000238418579,0.45,0.6296296119689941,0.9444444179534912,0.13333334028720856,0.0,0.7555555701255798,0.29629629850387573,0.44999998807907104
mashing,18,0,18,0.550000011920929,0.425,0.0,0.0,0.761904776096344,0.4390243887901306,0.0,0.4003097116947174,0.42500001192092896
grating,18,0,18,0.550000011920929,0.525,0.0,0.0,0.9473684430122375,0.5581395626068115,0.0,0.5018360018730164,0.5249999761581421
grating,18,0,18,0.550000011920929,0.375,0.0,0.0,0.19354838132858276,0.774193525314331,0.0,0.32258063554763794,0.375
blending,5,5,18,0.675000011920929,0.425,1.0,0.2777777910232544,0.4000000059604645,0.4545454680919647,0.43478259444236755,0.42977604269981384,0.42500001192092896
blending,18,0,18,0.550000011920929,0.275,0.0,0.0,0.39024388790130615,0.2857142984867096,0.0,0.22531938552856445,0.2750000059604645
chopping,18,0,18,0.550000011920929,0.375,0.0,0.0,0.0,0.5454545617103577,0.0,0.1818181872367859,0.375
chopping,1,5,18,0.675000011920929,0.4,1.0,0.2777777910232544,0.2068965584039688,0.5714285969734192,0.43478259444236755,0.4043692350387573,0.4000000059604645
browning,18,0,18,0.550000011920929,0.275,0.0,0.0,0.0,0.4313725531101227,0.0,0.1437908560037613,0.2750000059604645
browning,3,5,22,0.574999988079071,0.425,0.625,0.2631579041481018,0.23076923191547394,0.6666666865348816,0.37037035822868347,0.4226020872592926,0.42500001192092896
slicing,19,0,19,0.5249999761581421,0.2,0.0,0.0,0.0,0.41025641560554504,0.0,0.1367521435022354,0.20000000298023224
slicing,8,12,25,0.675000011920929,0.575,0.6666666865348816,0.6315789222717285,0.42105263471603394,0.5833333134651184,0.6486486196517944,0.5510115027427673,0.574999988079071
chopping,18,0,18,0.550000011920929,0.4,0.0,0.0,0.2222222238779068,0.6363636255264282,0.0,0.2861952781677246,0.4000000059604645
chopping,18,0,18,0.550000011920929,0.075,0.0,0.0,0.08695652335882187,0.10256410390138626,0.0,0.06317353993654251,0.07500000298023224
coating,18,0,18,0.550000011920929,0.425,0.0,0.0,0.0,0.5964912176132202,0.0,0.19883041083812714,0.42500001192092896
coating,19,0,19,0.5249999761581421,0.15,0.0,0.0,0.0,0.260869562625885,0.0,0.08695652335882187,0.15000000596046448
roasting,16,3,19,0.6000000238418579,0.375,1.0,0.15789473056793213,0.3448275923728943,0.48275861144065857,0.27272728085517883,0.3667711317539215,0.375
roasting,18,0,18,0.550000011920929,0.35,0.0,0.0,0.0,0.7777777910232544,0.0,0.25925925374031067,0.3499999940395355
crushing,18,0,18,0.550000011920929,0.45,0.0,0.0,0.761904776096344,0.4878048896789551,0.0,0.41656985878944397,0.44999998807907104
crushing,1,3,18,0.625,0.45,1.0,0.1666666716337204,0.0,0.7894737124443054,0.2857142984867096,0.3583960235118866,0.44999998807907104
slicing,18,0,18,0.550000011920929,0.475,0.0,0.0,0.800000011920929,0.5531914830207825,0.0,0.4510638415813446,0.4749999940395355
slicing,17,18,35,0.574999988079071,0.475,0.5142857432365417,1.0,0.0,0.08695652335882187,0.6792452931404114,0.2554005980491638,0.4749999940395355
chopping,19,0,19,0.5249999761581421,0.4,0.0,0.0,0.23529411852359772,0.6363636255264282,0.0,0.2905525863170624,0.4000000059604645
chopping,3,2,18,0.6000000238418579,0.475,1.0,0.1111111119389534,0.10000000149011612,0.800000011920929,0.20000000298023224,0.36666667461395264,0.4749999940395355
frying,4,18,22,0.8999999761581421,0.75,0.8181818127632141,1.0,0.25,0.6875,0.8999999761581421,0.612500011920929,0.75
frying,19,0,19,0.5249999761581421,0.275,0.0,0.0,0.07999999821186066,0.5555555820465088,0.0,0.21185185015201569,0.2750000059604645
slicing,2,17,19,0.949999988079071,0.925,1.0,0.8947368264198303,0.0,0.930232584476471,0.9444444179534912,0.6248922944068909,0.925000011920929
slicing,9,16,30,0.7254902124404907,0.6078431372549019,1.0,0.5333333611488342,0.3529411852359772,0.6153846383094788,0.695652186870575,0.554659366607666,0.6078431606292725
frying,11,1,18,0.574999988079071,0.275,1.0,0.0555555559694767,0.25,0.4137931168079376,0.10526315867900848,0.25635209679603577,0.2750000059604645
frying,18,0,18,0.550000011920929,0.4,0.0,0.0,0.6666666865348816,0.4545454680919647,0.0,0.3737373650074005,0.4000000059604645
slicing,0,5,18,0.675000011920929,0.425,1.0,0.2777777910232544,0.41025641560554504,0.4444444477558136,0.43478259444236755,0.42982780933380127,0.42500001192092896
slicing,15,3,18,0.625,0.45,1.0,0.1666666716337204,0.0,0.5769230723381042,0.2857142984867096,0.2875458002090454,0.44999998807907104
sauteing,18,0,18,0.550000011920929,0.3,0.0,0.0,0.5833333134651184,0.2631579041481018,0.0,0.28216373920440674,0.30000001192092896
sauteing,18,0,18,0.550000011920929,0.425,0.0,0.0,0.0,0.5964912176132202,0.0,0.19883041083812714,0.42500001192092896
browning,17,0,17,0.574999988079071,0.225,0.0,0.0,0.3636363744735718,0.24390244483947754,0.0,0.2025129348039627,0.22499999403953552
browning,16,0,16,0.6000000238418579,0.3,0.0,0.0,0.4000000059604645,0.3636363744735718,0.0,0.2545454502105713,0.30000001192092896
grilling,18,0,18,0.550000011920929,0.55,0.0,0.0,1.0,0.6896551847457886,0.0,0.5632184147834778,0.550000011920929
grilling,12,6,18,0.699999988079071,0.55,1.0,0.3333333432674408,0.5,0.6111111044883728,0.5,0.5370370745658875,0.550000011920929
rolling,6,13,19,0.8500000238418579,0.725,1.0,0.6842105388641357,0.0,0.8648648858070374,0.8125,0.5591216087341309,0.7250000238418579
rolling,19,0,19,0.5249999761581421,0.45,0.0,0.0,0.0,0.8999999761581421,0.0,0.29999998211860657,0.44999998807907104
chopping,19,0,21,0.4749999940395355,0.05,0.0,0.0,0.095238097012043,0.0,0.0,0.0317460335791111,0.05000000074505806
chopping,1,15,18,0.925000011920929,0.725,1.0,0.8333333134651184,0.5454545617103577,0.6399999856948853,0.9090909361839294,0.6981818675994873,0.7250000238418579
blending,8,11,19,0.800000011920929,0.75,1.0,0.5789473652839661,0.800000011920929,0.75,0.7333333492279053,0.7611110806465149,0.75
blending,4,15,23,0.800000011920929,0.7,0.7894737124443054,0.7894737124443054,0.3333333432674408,0.7333333492279053,0.7894737124443054,0.6187134385108948,0.699999988079071
chopping,1,18,19,0.9750000238418579,0.6,1.0,0.9473684430122375,0.0,0.4285714328289032,0.9729729890823364,0.4671814739704132,0.6000000238418579
chopping,7,17,24,0.824999988079071,0.6,0.7727272510528564,0.8947368264198303,0.4761904776096344,0.2222222238779068,0.8292682766914368,0.5092269778251648,0.6000000238418579
chopping,6,6,18,0.699999988079071,0.425,1.0,0.3333333432674408,0.4390243887901306,0.2666666805744171,0.5,0.40189704298973083,0.42500001192092896
chopping,18,0,18,0.550000011920929,0.175,0.0,0.0,0.21052631735801697,0.23255814611911774,0.0,0.14769482612609863,0.17499999701976776
slicing,2,0,19,0.5249999761581421,0.3,0.0,0.0,0.1818181872367859,0.6428571343421936,0.0,0.27489176392555237,0.30000001192092896
slicing,6,19,25,0.8500000238418579,0.7,0.7599999904632568,1.0,0.0,0.6000000238418579,0.8636363744735718,0.48787879943847656,0.699999988079071
shredding,7,13,25,0.699999988079071,0.675,0.6499999761581421,0.7222222089767456,0.5714285969734192,0.7142857313156128,0.6842105388641357,0.6566416621208191,0.675000011920929
shredding,1,8,19,0.7250000238418579,0.55,0.8888888955116272,0.4444444477558136,0.4516128897666931,0.6363636255264282,0.5925925970077515,0.5601896643638611,0.550000011920929
frying,49,27,76,0.5,0.47959183673469385,1.0,0.3552631437778473,0.0,0.449438214302063,0.5242718458175659,0.32457002997398376,0.47959184646606445
frying,17,12,29,0.6666666865348816,0.4117647058823529,1.0,0.4137931168079376,0.4000000059604645,0.2222222238779068,0.5853658318519592,0.40252935886383057,0.4117647111415863
whipping,18,1,19,0.550000011920929,0.3,1.0,0.05263157933950424,0.5454545617103577,0.2631579041481018,0.10000000149011612,0.30287083983421326,0.30000001192092896
whipping,0,6,19,0.675000011920929,0.55,1.0,0.31578946113586426,0.0,0.8648648858070374,0.47999998927116394,0.44828829169273376,0.550000011920929
slicing,1,8,18,0.75,0.475,1.0,0.4444444477558136,0.4000000059604645,0.42105263471603394,0.6153846383094788,0.47881245613098145,0.4749999940395355
slicing,7,11,18,0.824999988079071,0.575,1.0,0.6111111044883728,0.4137931168079376,0.5454545617103577,0.7586206793785095,0.5726227760314941,0.574999988079071
frying,19,0,19,0.5249999761581421,0.1,0.0,0.0,0.10000000149011612,0.1463414579629898,0.0,0.0821138247847557,0.10000000149011612
frying,14,4,18,0.6499999761581421,0.575,1.0,0.2222222238779068,0.0,0.6909090876579285,0.3636363744735718,0.35151514410972595,0.574999988079071
peeling,18,0,18,0.550000011920929,0.425,0.0,0.0,0.4444444477558136,0.5660377144813538,0.0,0.3368273973464966,0.42500001192092896
peeling,18,0,18,0.550000011920929,0.45,0.0,0.0,0.5333333611488342,0.5957446694374084,0.0,0.37635934352874756,0.44999998807907104
chopping,7,14,24,0.75,0.625,0.699999988079071,0.7777777910232544,0.47058823704719543,0.5600000023841858,0.7368420958518982,0.5891434550285339,0.625
chopping,5,9,18,0.7749999761581421,0.6,1.0,0.5,0.5600000023841858,0.5714285969734192,0.6666666865348816,0.5993650555610657,0.6000000238418579
peeling,8,4,19,0.625,0.575,1.0,0.21052631735801697,0.5714285969734192,0.7222222089767456,0.3478260934352875,0.5471590161323547,0.574999988079071
peeling,0,18,18,1.0,0.85,1.0,1.0,0.6666666865348816,0.7692307829856873,1.0,0.8119657635688782,0.8500000238418579
grilling,2,13,18,0.875,0.775,0.8666666746139526,0.8125,0.0,0.8571428656578064,0.8387096524238586,0.5652841925621033,0.7749999761581421
grilling,17,0,17,0.574999988079071,0.575,0.0,0.0,0.3076923191547394,0.8399999737739563,0.0,0.38256409764289856,0.574999988079071
grating,1,10,19,0.7749999761581421,0.4,0.9090909361839294,0.5555555820465088,0.14814814925193787,0.3333333432674408,0.6896551847457886,0.3903788626194,0.4000000059604645
grating,18,0,18,0.550000011920929,0.35,0.0,0.0,0.0,0.5185185074806213,0.0,0.17283950746059418,0.3499999940395355
mashing,18,0,18,0.550000011920929,0.375,0.0,0.0,0.3636363744735718,0.5098039507865906,0.0,0.29114678502082825,0.375
mashing,1,7,21,0.6744186282157898,0.5581395348837209,1.0,0.3333333432674408,0.47058823704719543,0.75,0.5,0.5735294222831726,0.5581395626068115
slicing,10,9,19,0.75,0.55,1.0,0.4736842215061188,0.6000000238418579,0.4375,0.6428571343421936,0.560119092464447,0.550000011920929
slicing,7,5,19,0.6499999761581421,0.45,1.0,0.2631579041481018,0.4000000059604645,0.5161290168762207,0.4166666567325592,0.444265216588974,0.44999998807907104
melting,42,8,50,0.4084506928920746,0.323943661971831,1.0,0.1599999964237213,0.0,0.38461539149284363,0.27586206793785095,0.2201591581106186,0.3239436745643616
melting,13,25,38,0.7796609997749329,0.6949152542372882,1.0,0.6578947305679321,0.0,0.6399999856948853,0.7936508059501648,0.47788357734680176,0.694915235042572
blending,19,0,19,0.5249999761581421,0.2,0.0,0.0,0.27586206793785095,0.25,0.0,0.1752873659133911,0.20000000298023224
blending,1,26,27,0.9791666865348816,0.875,1.0,0.9629629850387573,0.0,0.8648648858070374,0.9811320900917053,0.615332305431366,0.875
mincing,7,0,26,0.3499999940395355,0.35,0.0,0.0,0.3870967626571655,0.695652186870575,0.0,0.36091628670692444,0.3499999940395355
chopping,19,0,19,0.5249999761581421,0.175,0.0,0.0,0.27272728085517883,0.11764705926179886,0.0,0.1301247775554657,0.17499999701976776
chopping,13,2,18,0.6000000238418579,0.35,1.0,0.1111111119389534,0.5185185074806213,0.3030303120613098,0.20000000298023224,0.3405162990093231,0.3499999940395355
peeling,10,11,28,0.574999988079071,0.4,0.523809552192688,0.6111111044883728,0.0,0.37037035822868347,0.5641025900840759,0.3114909827709198,0.4000000059604645
peeling,6,18,24,0.8500000238418579,0.75,0.75,1.0,0.0,0.7058823704719543,0.8571428656578064,0.5210084319114685,0.75
browning,18,0,18,0.550000011920929,0.55,0.0,0.0,0.5333333611488342,0.875,0.0,0.4694444239139557,0.550000011920929
browning,43,0,43,0.3484848439693451,0.10606060606060606,0.0,0.0,0.1621621549129486,0.1538461595773697,0.0,0.10533610731363297,0.10606060922145844
slicing,16,18,34,0.6000000238418579,0.45,0.529411792755127,1.0,0.0,0.0,0.692307710647583,0.23076923191547394,0.44999998807907104
slicing,3,12,21,0.7749999761581421,0.6,0.800000011920929,0.6666666865348816,0.43478259444236755,0.5833333134651184,0.7272727489471436,0.5817962288856506,0.6000000238418579
peeling,1,16,19,0.925000011920929,0.725,0.9411764740943909,0.8888888955116272,0.6428571343421936,0.47058823704719543,0.9142857193946838,0.6759104132652283,0.7250000238418579
peeling,18,0,18,0.550000011920929,0.3,0.0,0.0,0.4285714328289032,0.3529411852359772,0.0,0.26050421595573425,0.30000001192092896
crushing,16,2,24,0.5111111402511597,0.4,1.0,0.0833333358168602,0.52173912525177,0.4878048896789551,0.1538461595773697,0.3877967298030853,0.4000000059604645
crushing,0,18,18,1.0,0.775,1.0,1.0,0.0,0.7428571581840515,1.0,0.5809524059295654,0.7749999761581421
shredding,18,0,18,0.550000011920929,0.375,0.0,0.0,0.7200000286102295,0.3243243098258972,0.0,0.3481081426143646,0.375
shredding,2,5,18,0.675000011920929,0.625,1.0,0.2777777910232544,0.43478259444236755,0.8823529481887817,0.43478259444236755,0.5839727520942688,0.625
