verb,first_frame_diff,total_intersection,total_union,accuracy_2,accuracy_all,recall,precision,f1_0,f1_1,f1_2,f1_macro,f1_micro
rolling,18,0,18,0.550000011920929,0.225,0.0,0.0,0.125,0.46666666865348816,0.0,0.19722223281860352,0.22499999403953552
rolling,12,1,27,0.3499999940395355,0.175,0.10000000149011612,0.0555555559694767,0.25,0.20000000298023224,0.0714285746216774,0.17380952835083008,0.17499999701976776
frying,12,6,18,0.699999988079071,0.6,1.0,0.3333333432674408,0.2857142984867096,0.6938775777816772,0.5,0.4931972920894623,0.6000000238418579
frying,11,4,17,0.675000011920929,0.575,1.0,0.23529411852359772,0.5,0.6976743936538696,0.380952388048172,0.5262089371681213,0.574999988079071
chopping,1,18,19,0.9750000238418579,0.9,1.0,0.9473684430122375,0.800000011920929,0.8571428656578064,0.9729729890823364,0.8767053484916687,0.8999999761581421
chopping,14,3,18,0.625,0.25,1.0,0.1666666716337204,0.3255814015865326,0.0,0.2857142984867096,0.20376522839069366,0.25
mincing,2,11,18,0.824999988079071,0.65,1.0,0.6111111044883728,0.0,0.7894737124443054,0.7586206793785095,0.5160314440727234,0.6499999761581421
mincing,18,0,18,0.550000011920929,0.425,0.0,0.0,0.5,0.5882353186607361,0.0,0.36274513602256775,0.42500001192092896
mincing,18,0,18,0.550000011920929,0.35,0.0,0.0,0.6363636255264282,0.3499999940395355,0.0,0.3287878930568695,0.3499999940395355
mincing,1,18,19,0.9750000238418579,0.775,0.9473684430122375,1.0,0.692307710647583,0.47058823704719543,0.9729729890823364,0.7119563221931458,0.7749999761581421
frying,18,0,18,0.550000011920929,0.1,0.0,0.0,0.27586206793785095,0.0,0.0,0.09195402264595032,0.10000000149011612
frying,23,0,23,0.4888888895511627,0.35555555555555557,0.0,0.0,0.0,0.5245901346206665,0.0,0.17486338317394257,0.35555556416511536
grilling,67,0,67,0.2637362778186798,0.04395604395604396,0.0,0.0,0.2857142984867096,0.0,0.0,0.095238097012043,0.04395604506134987
grilling,17,0,17,0.574999988079071,0.1,0.0,0.0,0.05882352963089943,0.2068965584039688,0.0,0.08857336640357971,0.10000000149011612
grilling,19,0,19,0.5249999761581421,0.225,0.0,0.0,0.0,0.40909090638160706,0.0,0.13636364042758942,0.22499999403953552
grilling,5,16,22,0.8500000238418579,0.7,0.8421052694320679,0.8421052694320679,0.0,0.7272727489471436,0.8421052694320679,0.5231260061264038,0.699999988079071
frying,11,7,18,0.7250000238418579,0.55,1.0,0.3888888955116272,0.0,0.625,0.5600000023841858,0.39499998092651367,0.550000011920929
frying,35,0,35,0.38596490025520325,0.15789473684210525,0.0,0.0,0.0,0.3214285671710968,0.0,0.1071428582072258,0.15789473056793213
frying,15,0,15,0.625,0.35,0.0,0.0,0.2777777910232544,0.6206896305084229,0.0,0.2994891405105591,0.3499999940395355
frying,10,0,23,0.42500001192092896,0.25,0.0,0.0,0.34285715222358704,0.3636363744735718,0.0,0.2354978322982788,0.25
slicing,11,2,23,0.4749999940395355,0.2,0.2857142984867096,0.1111111119389534,0.06896551698446274,0.38461539149284363,0.1599999964237213,0.20452697575092316,0.20000000298023224
slicing,5,10,19,0.7749999761581421,0.55,1.0,0.5263158082962036,0.43478259444236755,0.5,0.6896551847457886,0.5414792895317078,0.550000011920929
frying,18,0,18,0.550000011920929,0.35,0.0,0.0,0.0,0.5185185074806213,0.0,0.17283950746059418,0.3499999940395355
frying,18,0,18,0.550000011920929,0.375,0.0,0.0,0.0,0.5454545617103577,0.0,0.1818181872367859,0.375
slicing,5,8,20,0.699999988079071,0.4,0.800000011920929,0.4444444477558136,0.3888888955116272,0.125,0.5714285969734192,0.3617725074291229,0.4000000059604645
slicing,1,18,19,0.9750000238418579,0.825,0.9473684430122375,1.0,0.699999988079071,0.695652186870575,0.9729729890823364,0.7895417213439941,0.824999988079071
chopping,20,0,20,0.523809552192688,0.2619047619047619,0.0,0.0,0.6000000238418579,0.11764705926179886,0.0,0.239215686917305,0.261904776096344
chopping,15,14,31,0.574999988079071,0.4,0.5185185074806213,0.7777777910232544,0.2666666805744171,0.0,0.6222222447395325,0.2962963283061981,0.4000000059604645
frying,1,1,18,0.574999988079071,0.275,0.5,0.05882352963089943,0.2222222238779068,0.47999998927116394,0.10526315867900848,0.26916179060935974,0.2750000059604645
frying,18,0,18,0.550000011920929,0.275,0.0,0.0,0.3529411852359772,0.35555556416511536,0.0,0.2361655831336975,0.2750000059604645
chopping,16,3,19,0.6000000238418579,0.35,1.0,0.15789473056793213,0.3589743673801422,0.42105263471603394,0.27272728085517883,0.35091808438301086,0.3499999940395355
chopping,16,2,19,0.574999988079071,0.4,1.0,0.10526315867900848,0.6000000238418579,0.41025641560554504,0.190476194024086,0.40024420619010925,0.4000000059604645
roasting,3,2,18,0.6000000238418579,0.375,1.0,0.1111111119389534,0.3684210479259491,0.5454545617103577,0.20000000298023224,0.3712918758392334,0.375
grating,2,9,18,0.7749999761581421,0.5,1.0,0.5,0.4444444477558136,0.3529411852359772,0.6666666865348816,0.4880174398422241,0.5
grating,8,10,18,0.800000011920929,0.6,1.0,0.5555555820465088,0.0,0.6363636255264282,0.7142857313156128,0.4502164423465729,0.6000000238418579
chopping,14,4,18,0.6499999761581421,0.4,1.0,0.2222222238779068,0.3684210479259491,0.5,0.3636363744735718,0.41068580746650696,0.4000000059604645
chopping,13,3,18,0.625,0.4,1.0,0.1666666716337204,0.0,0.5777778029441833,0.2857142984867096,0.2878307104110718,0.4000000059604645
sauteing,18,0,18,0.550000011920929,0.15,0.0,0.0,0.0,0.3529411852359772,0.0,0.11764705926179886,0.15000000596046448
sauteing,17,0,17,0.574999988079071,0.2,0.0,0.0,0.3529411852359772,0.13793103396892548,0.0,0.16362406313419342,0.20000000298023224
roasting,18,0,18,0.550000011920929,0.425,0.0,0.0,0.0,0.5964912176132202,0.0,0.19883041083812714,0.42500001192092896
roasting,18,0,18,0.550000011920929,0.125,0.0,0.0,0.11428571492433548,0.2222222238779068,0.0,0.11216931790113449,0.125
mashing,2,0,19,0.5249999761581421,0.25,0.0,0.0,0.35555556416511536,0.25,0.0,0.20185184478759766,0.25
mashing,18,0,18,0.550000011920929,0.4,0.0,0.0,0.699999988079071,0.4285714328289032,0.0,0.3761904537677765,0.4000000059604645
grilling,13,5,18,0.675000011920929,0.575,1.0,0.2777777910232544,0.0,0.7346938848495483,0.43478259444236755,0.3898254930973053,0.574999988079071
grilling,3,10,21,0.7250000238418579,0.675,0.7692307829856873,0.5555555820465088,0.0,0.8717948794364929,0.6451612710952759,0.5056520104408264,0.675000011920929
frying,10,7,19,0.699999988079071,0.35,1.0,0.3684210479259491,0.27272728085517883,0.25,0.5384615659713745,0.35372960567474365,0.3499999940395355
frying,18,0,18,0.550000011920929,0.175,0.0,0.0,0.1666666716337204,0.2631579041481018,0.0,0.14327485859394073,0.17499999701976776
coating,3,11,18,0.824999988079071,0.625,1.0,0.6111111044883728,0.21052631735801697,0.75,0.7586206793785095,0.573049008846283,0.625
coating,18,0,18,0.550000011920929,0.5,0.0,0.0,0.0,0.6779661178588867,0.0,0.2259887009859085,0.5
shredding,4,27,31,0.9230769276618958,0.7692307692307693,1.0,0.8709677457809448,0.0,0.6842105388641357,0.931034505367279,0.5384150147438049,0.7692307829856873
shredding,15,3,18,0.625,0.25,1.0,0.1666666716337204,0.3333333432674408,0.0,0.2857142984867096,0.2063492089509964,0.25
slicing,18,0,18,0.550000011920929,0.35,0.0,0.0,0.6060606241226196,0.27586206793785095,0.0,0.29397425055503845,0.3499999940395355
slicing,9,18,27,0.7749999761581421,0.775,0.6666666865348816,1.0,1.0,0.47058823704719543,0.800000011920929,0.7568626999855042,0.7749999761581421
crushing,18,6,36,0.25,0.15,0.25,0.3333333432674408,0.0,0.0,0.2857142984867096,0.095238097012043,0.15000000596046448
crushing,19,0,19,0.5249999761581421,0.2,0.0,0.0,0.23529411852359772,0.27272728085517883,0.0,0.16934047639369965,0.20000000298023224
chopping,13,5,18,0.675000011920929,0.325,1.0,0.2777777910232544,0.41025641560554504,0.0,0.43478259444236755,0.2816796600818634,0.32499998807907104
chopping,18,0,18,0.550000011920929,0.25,0.0,0.0,0.1666666716337204,0.5384615659713745,0.0,0.2350427508354187,0.25
frying,16,0,16,0.6000000238418579,0.25,0.0,0.0,0.4166666567325592,0.25,0.0,0.2222222089767456,0.25
frying,6,11,17,0.8500000238418579,0.825,1.0,0.6470588445663452,0.0,0.8799999952316284,0.7857142686843872,0.5552380681037903,0.824999988079071
chopping,7,1,18,0.574999988079071,0.3,1.0,0.0555555559694767,0.4000000059604645,0.3076923191547394,0.10526315867900848,0.2709851562976837,0.30000001192092896
chopping,5,11,18,0.824999988079071,0.625,1.0,0.6111111044883728,0.0,0.6829268336296082,0.7586206793785095,0.48051583766937256,0.625
grilling,3,12,17,0.875,0.6,1.0,0.7058823704719543,0.4285714328289032,0.52173912525177,0.8275862336158752,0.5926322937011719,0.6000000238418579
grilling,11,3,17,0.6499999761581421,0.275,1.0,0.1764705926179886,0.1818181872367859,0.31578946113586426,0.30000001192092896,0.26586923003196716,0.2750000059604645
peeling,2,18,20,0.949999988079071,0.7,0.8999999761581421,1.0,0.6153846383094788,0.25,0.9473684430122375,0.6042510271072388,0.699999988079071
peeling,10,7,28,0.4749999940395355,0.35,0.4117647111415863,0.3888888955116272,0.3333333432674408,0.2857142984867096,0.4000000059604645,0.33968254923820496,0.3499999940395355
roasting,0,5,19,0.6499999761581421,0.3,1.0,0.2631579041481018,0.30000001192092896,0.125,0.4166666567325592,0.2805555760860443,0.30000001192092896
roasting,6,2,18,0.6000000238418579,0.525,1.0,0.1111111119389534,0.47999998927116394,0.7428571581840515,0.20000000298023224,0.47428572177886963,0.5249999761581421
shredding,18,0,18,0.550000011920929,0.45,0.0,0.0,0.5,0.5925925970077515,0.0,0.3641975224018097,0.44999998807907104
shredding,18,0,18,0.550000011920929,0.175,0.0,0.0,0.0,0.48275861144065857,0.0,0.16091953217983246,0.17499999701976776
chopping,19,0,19,0.5249999761581421,0.325,0.0,0.0,0.3076923191547394,0.6363636255264282,0.0,0.31468531489372253,0.32499998807907104
chopping,3,18,22,0.8999999761581421,0.75,0.8571428656578064,0.9473684430122375,0.0,0.7272727489471436,0.8999999761581421,0.5424242615699768,0.75
shredding,1,16,18,0.949999988079071,0.9,1.0,0.8888888955116272,0.800000011920929,0.9032257795333862,0.9411764740943909,0.8814674019813538,0.8999999761581421
shredding,8,8,25,0.6382978558540344,0.44680851063829785,1.0,0.3199999928474426,0.5,0.3199999928474426,0.4848484992980957,0.43494948744773865,0.44680851697921753
grilling,9,6,17,0.7250000238418579,0.55,1.0,0.3529411852359772,0.4000000059604645,0.6190476417541504,0.52173912525177,0.5135955810546875,0.550000011920929
grilling,17,0,17,0.574999988079071,0.5,0.0,0.0,0.3333333432674408,0.9090909361839294,0.0,0.4141414165496826,0.5
sauteing,6,16,22,0.8500000238418579,0.75,0.7272727489471436,1.0,0.8181818127632141,0.5,0.8421052694320679,0.7200956344604492,0.75
sauteing,4,5,15,0.75,0.75,1.0,0.3333333432674408,0.75,0.8888888955116272,0.5,0.7129629254341125,0.75
melting,2,12,20,0.800000011920929,0.55,0.8571428656578064,0.6666666865348816,0.46666666865348816,0.3333333432674408,0.75,0.5166666507720947,0.550000011920929
melting,18,0,18,0.550000011920929,0.325,0.0,0.0,0.5714285969734192,0.3414634168148041,0.0,0.3042973279953003,0.32499998807907104
roasting,17,3,31,0.4716981053352356,0.20754716981132076,1.0,0.09677419066429138,0.1764705926179886,0.2631579041481018,0.1764705926179886,0.2053663581609726,0.2075471729040146
roasting,4,4,17,0.675000011920929,0.425,1.0,0.23529411852359772,0.1666666716337204,0.6285714507102966,0.380952388048172,0.3920634984970093,0.42500001192092896
mashing,19,0,19,0.5249999761581421,0.475,0.0,0.0,0.8571428656578064,0.5531914830207825,0.0,0.4701114594936371,0.4749999940395355
mashing,12,4,18,0.6499999761581421,0.475,1.0,0.2222222238779068,0.0,0.6122449040412903,0.3636363744735718,0.32529374957084656,0.4749999940395355
chopping,5,8,18,0.75,0.525,1.0,0.4444444477558136,0.3636363744735718,0.5625,0.6153846383094788,0.51384037733078,0.5249999761581421
chopping,4,2,18,0.6000000238418579,0.425,1.0,0.1111111119389534,0.095238097012043,0.7179487347602844,0.20000000298023224,0.33772894740104675,0.42500001192092896
grilling,18,0,18,0.550000011920929,0.55,0.0,0.0,0.5925925970077515,0.800000011920929,0.0,0.4641975462436676,0.550000011920929
grilling,4,2,18,0.6000000238418579,0.35,1.0,0.1111111119389534,0.23529411852359772,0.6153846383094788,0.20000000298023224,0.3502262532711029,0.3499999940395355
zesting,0,10,18,0.800000011920929,0.625,1.0,0.5555555820465088,0.48275861144065857,0.695652186870575,0.7142857313156128,0.6308988332748413,0.625
zesting,30,10,40,0.5161290168762207,0.45161290322580644,1.0,0.25,0.5833333134651184,0.4399999976158142,0.4000000059604645,0.4744444191455841,0.4516128897666931
browning,18,0,18,0.550000011920929,0.525,0.0,0.0,0.800000011920929,0.6666666865348816,0.0,0.4888888895511627,0.5249999761581421
browning,18,0,18,0.550000011920929,0.45,0.0,0.0,0.0,0.6206896305084229,0.0,0.20689654350280762,0.44999998807907104
chopping,1,16,34,0.6785714030265808,0.4107142857142857,1.0,0.47058823704719543,0.27272728085517883,0.1111111119389534,0.6399999856948853,0.3412794768810272,0.4107142984867096
chopping,15,3,18,0.625,0.35,1.0,0.1666666716337204,0.5600000023841858,0.23529411852359772,0.2857142984867096,0.36033615469932556,0.3499999940395355
slicing,18,0,18,0.550000011920929,0.525,0.0,0.0,0.9411764740943909,0.5777778029441833,0.0,0.5063180923461914,0.5249999761581421
slicing,7,12,19,0.824999988079071,0.375,1.0,0.6315789222717285,0.19354838132858276,0.0,0.774193525314331,0.32258063554763794,0.375
crushing,36,0,36,0.3684210479259491,0.2982456140350877,0.0,0.0,0.3333333432674408,0.4444444477558136,0.0,0.25925925374031067,0.2982456088066101
crushing,15,3,18,0.625,0.525,1.0,0.1666666716337204,0.7368420958518982,0.550000011920929,0.2857142984867096,0.5241854786872864,0.5249999761581421
chopping,10,5,19,0.6499999761581421,0.5,1.0,0.2631579041481018,0.0,0.6521739363670349,0.4166666567325592,0.35628020763397217,0.5
chopping,2,11,18,0.824999988079071,0.65,1.0,0.6111111044883728,0.0,0.7692307829856873,0.7586206793785095,0.5092838406562805,0.6499999761581421
melting,3,19,22,0.925000011920929,0.775,0.8636363744735718,1.0,0.0,0.7272727489471436,0.9268292784690857,0.5513673424720764,0.7749999761581421
melting,14,5,19,0.6499999761581421,0.5,1.0,0.2631579041481018,0.4761904776096344,0.5714285969734192,0.4166666567325592,0.4880952537059784,0.5
slicing,1,1,18,0.574999988079071,0.275,1.0,0.0555555559694767,0.3255814015865326,0.3333333432674408,0.10526315867900848,0.25472596287727356,0.2750000059604645
slicing,0,6,18,0.699999988079071,0.45,1.0,0.3333333432674408,0.3888888955116272,0.5,0.5,0.46296295523643494,0.44999998807907104
whipping,13,5,19,0.6499999761581421,0.55,1.0,0.2631579041481018,0.2222222238779068,0.6808510422706604,0.4166666567325592,0.4399133026599884,0.550000011920929
whipping,19,0,19,0.5249999761581421,0.25,0.0,0.0,0.0,0.4545454680919647,0.0,0.1515151560306549,0.25
crushing,8,18,26,0.800000011920929,0.55,0.692307710647583,1.0,0.0,0.3076923191547394,0.8181818127632141,0.3752913773059845,0.550000011920929
crushing,9,5,18,0.675000011920929,0.5,1.0,0.2777777910232544,0.6206896305084229,0.4285714328289032,0.43478259444236755,0.4946812391281128,0.5
slicing,3,0,21,0.4749999940395355,0.25,0.0,0.0,0.3076923191547394,0.4000000059604645,0.0,0.23589743673801422,0.25
slicing,8,8,18,0.75,0.6,1.0,0.4444444477558136,0.5600000023841858,0.6206896305084229,0.6153846383094788,0.5986914038658142,0.6000000238418579
peeling,2,16,18,0.949999988079071,0.675,1.0,0.8888888955116272,0.0,0.6285714507102966,0.9411764740943909,0.5232493281364441,0.675000011920929
peeling,2,14,20,0.8500000238418579,0.725,0.875,0.7777777910232544,0.5263158082962036,0.7407407164573669,0.8235294222831726,0.696861982345581,0.7250000238418579
sauteing,17,0,17,0.574999988079071,0.325,0.0,0.0,0.4137931168079376,0.4117647111415863,0.0,0.2751859426498413,0.32499998807907104
sauteing,8,6,17,0.7250000238418579,0.45,1.0,0.3529411852359772,0.4137931168079376,0.4285714328289032,0.52173912525177,0.4547012150287628,0.44999998807907104
grating,4,13,18,0.875,0.775,1.0,0.7222222089767456,0.7368420958518982,0.7333333492279053,0.8387096524238586,0.7696283459663391,0.7749999761581421
grating,16,2,18,0.6000000238418579,0.375,1.0,0.1111111119389534,0.0,0.5098039507865906,0.20000000298023224,0.2366013079881668,0.375
peeling,19,0,19,0.5249999761581421,0.225,0.0,0.0,0.1621621549129486,0.5,0.0,0.22072072327136993,0.22499999403953552
peeling,21,0,21,0.5116279125213623,0.4186046511627907,0.0,0.0,0.7777777910232544,0.4680851101875305,0.0,0.41528764367103577,0.41860464215278625
blending,18,0,18,0.550000011920929,0.325,0.0,0.0,0.3076923191547394,0.6086956262588501,0.0,0.30546262860298157,0.32499998807907104
blending,1,12,18,0.8500000238418579,0.675,1.0,0.6666666865348816,0.0,0.7894737124443054,0.800000011920929,0.5298245549201965,0.675000011920929
frying,5,13,18,0.875,0.725,1.0,0.7222222089767456,0.0,0.7441860437393188,0.8387096524238586,0.527631938457489,0.7250000238418579
frying,16,2,18,0.6000000238418579,0.45,1.0,0.1111111119389534,0.0,0.6274510025978088,0.20000000298023224,0.27581700682640076,0.44999998807907104
slicing,1,7,18,0.7250000238418579,0.6,1.0,0.3888888955116272,0.21052631735801697,0.8333333134651184,0.5600000023841858,0.5346198678016663,0.6000000238418579
slicing,18,0,18,0.550000011920929,0.45,0.0,0.0,0.0,0.6206896305084229,0.0,0.20689654350280762,0.44999998807907104
blending,4,15,19,0.8999999761581421,0.625,1.0,0.7894737124443054,0.5,0.3636363744735718,0.8823529481887817,0.5819964408874512,0.625
blending,3,14,18,0.8999999761581421,0.7,1.0,0.7777777910232544,0.0,0.7179487347602844,0.875,0.5309829115867615,0.699999988079071
blending,4,8,19,0.7250000238418579,0.525,1.0,0.42105263471603394,0.4000000059604645,0.5714285969734192,0.5925925970077515,0.5213404297828674,0.5249999761581421
blending,7,11,18,0.824999988079071,0.55,1.0,0.6111111044883728,0.1538461595773697,0.5263158082962036,0.7586206793785095,0.47959423065185547,0.550000011920929
browning,3,20,23,0.925000011920929,0.85,0.8695651888847351,1.0,0.4000000059604645,0.8125,0.930232584476471,0.7142441868782043,0.8500000238418579
browning,6,4,19,0.625,0.375,1.0,0.21052631735801697,0.08695652335882187,0.5882353186607361,0.3478260934352875,0.34100595116615295,0.375
rolling,7,12,19,0.824999988079071,0.675,1.0,0.6315789222717285,0.0,0.6976743936538696,0.774193525314331,0.4906226396560669,0.675000011920929
rolling,6,13,19,0.8500000238418579,0.6,1.0,0.6842105388641357,0.5,0.4285714328289032,0.8125,0.5803571343421936,0.6000000238418579
roasting,2,5,21,0.6000000238418579,0.3,0.7142857313156128,0.2631579041481018,0.1875,0.3636363744735718,0.38461539149284363,0.3119172751903534,0.30000001192092896
roasting,9,9,18,0.7749999761581421,0.375,1.0,0.5,0.0,0.4285714328289032,0.6666666865348816,0.3650793731212616,0.375
melting,4,14,18,0.8999999761581421,0.6,1.0,0.7777777910232544,0.46666666865348816,0.3333333432674408,0.875,0.5583333373069763,0.6000000238418579
melting,3,1,19,0.550000011920929,0.325,1.0,0.05263157933950424,0.3333333432674408,0.5,0.10000000149011612,0.31111112236976624,0.32499998807907104
whipping,19,0,19,0.5249999761581421,0.05,0.0,0.0,0.0,0.12121212482452393,0.0,0.04040404036641121,0.05000000074505806
whipping,19,0,19,0.5249999761581421,0.425,0.0,0.0,0.3333333432674408,0.581818163394928,0.0,0.30505049228668213,0.42500001192092896
mashing,18,0,18,0.550000011920929,0.475,0.0,0.0,0.7272727489471436,0.5882353186607361,0.0,0.438502699136734,0.4749999940395355
mashing,5,14,19,0.875,0.7,1.0,0.7368420958518982,0.0,0.699999988079071,0.8484848737716675,0.5161616206169128,0.699999988079071
coating,10,9,19,0.75,0.7,1.0,0.4736842215061188,0.0,0.7599999904632568,0.6428571343421936,0.46761903166770935,0.699999988079071
coating,19,0,19,0.5249999761581421,0.425,0.0,0.0,0.0,0.7906976938247681,0.0,0.26356589794158936,0.42500001192092896
chopping,2,8,19,0.7250000238418579,0.5,1.0,0.42105263471603394,0.4000000059604645,0.52173912525177,0.5925925970077515,0.5047772526741028,0.5
chopping,16,0,33,0.17499999701976776,0.05,0.0,0.0,0.13793103396892548,0.0,0.0,0.04597701132297516,0.05000000074505806
slicing,3,16,19,0.925000011920929,0.7,1.0,0.8421052694320679,0.5714285969734192,0.5,0.9142857193946838,0.6619047522544861,0.699999988079071
slicing,6,19,25,0.8500000238418579,0.525,0.7599999904632568,1.0,0.13333334028720856,0.095238097012043,0.8636363744735718,0.36406925320625305,0.5249999761581421
frying,18,0,18,0.550000011920929,0.425,0.0,0.0,0.0,0.5964912176132202,0.0,0.19883041083812714,0.42500001192092896
frying,18,0,18,0.550000011920929,0.325,0.0,0.0,0.3529411852359772,0.4444444477558136,0.0,0.26579520106315613,0.32499998807907104
blending,32,24,60,0.5555555820465088,0.4691358024691358,1.0,0.4000000059604645,0.0,0.7368420958518982,0.5714285969734192,0.43609023094177246,0.4691357910633087
blending,15,4,19,0.625,0.475,1.0,0.21052631735801697,0.0,0.7894737124443054,0.3478260934352875,0.37909993529319763,0.4749999940395355
slicing,33,3,36,0.42105263471603394,0.2631578947368421,1.0,0.0833333358168602,0.5714285969734192,0.2222222238779068,0.1538461595773697,0.31583231687545776,0.2631579041481018
slicing,5,14,19,0.875,0.725,1.0,0.7368420958518982,0.0,0.7317073345184326,0.8484848737716675,0.5267307162284851,0.7250000238418579
melting,6,13,19,0.8500000238418579,0.55,1.0,0.6842105388641357,0.4545454680919647,0.3076923191547394,0.8125,0.5249125957489014,0.550000011920929
melting,31,0,31,0.4038461446762085,0.28846153846153844,0.0,0.0,0.0,0.4838709533214569,0.0,0.16129031777381897,0.2884615361690521
melting,9,10,19,0.7749999761581421,0.35,1.0,0.5263158082962036,0.25,0.0,0.6896551847457886,0.3132183849811554,0.3499999940395355
crushing,18,0,18,0.550000011920929,0.4,0.0,0.0,0.4000000059604645,0.5384615659713745,0.0,0.31282052397727966,0.4000000059604645
crushing,7,11,18,0.824999988079071,0.625,1.0,0.6111111044883728,0.692307710647583,0.4000000059604645,0.7586206793785095,0.6169760823249817,0.625
grilling,8,7,17,0.75,0.2,1.0,0.4117647111415863,0.05882352963089943,0.0,0.5833333134651184,0.21405227482318878,0.20000000298023224
grilling,18,0,18,0.550000011920929,0.4,0.0,0.0,0.0,0.5714285969734192,0.0,0.190476194024086,0.4000000059604645
blending,19,0,19,0.5249999761581421,0.325,0.0,0.0,0.1538461595773697,0.6285714507102966,0.0,0.2608058750629425,0.32499998807907104
blending,19,0,19,0.5249999761581421,0.25,0.0,0.0,0.42105263471603394,0.2857142984867096,0.0,0.23558898270130157,0.25
rolling,18,0,18,0.550000011920929,0.325,0.0,0.0,0.3636363744735718,0.44999998807907104,0.0,0.2712121307849884,0.32499998807907104
rolling,19,0,19,0.5249999761581421,0.4,0.0,0.0,0.0,0.5714285969734192,0.0,0.190476194024086,0.4000000059604645
peeling,12,4,18,0.6499999761581421,0.3,1.0,0.2222222238779068,0.19354838132858276,0.37037035822868347,0.3636363744735718,0.3091850280761719,0.30000001192092896
peeling,18,0,18,0.550000011920929,0.45,0.0,0.0,0.5,0.5925925970077515,0.0,0.3641975224018097,0.44999998807907104
browning,54,0,54,0.29870128631591797,0.14285714285714285,0.0,0.0,0.0,0.3283582031726837,0.0,0.1094527319073677,0.1428571492433548
browning,18,0,18,0.550000011920929,0.375,0.0,0.0,0.380952388048172,0.5365853905677795,0.0,0.3058459460735321,0.375
grating,2,18,20,0.949999988079071,0.75,0.8999999761581421,1.0,0.5,0.6153846383094788,0.9473684430122375,0.6875843405723572,0.75
grating,12,2,18,0.6000000238418579,0.25,1.0,0.1111111119389534,0.3684210479259491,0.09090909361839294,0.20000000298023224,0.2197767049074173,0.25
grilling,16,0,16,0.6000000238418579,0.525,0.0,0.0,0.0,0.688524603843689,0.0,0.2295082062482834,0.5249999761581421
grilling,16,16,32,0.6000000238418579,0.6,0.5,1.0,1.0,0.46666666865348816,0.6666666865348816,0.7111111283302307,0.6000000238418579
browning,17,0,17,0.574999988079071,0.3,0.0,0.0,0.52173912525177,0.30000001192092896,0.0,0.27391305565834045,0.30000001192092896
browning,17,0,17,0.574999988079071,0.3,0.0,0.0,0.4615384638309479,0.3243243098258972,0.0,0.26195427775382996,0.30000001192092896
shredding,11,7,18,0.7250000238418579,0.4,1.0,0.3888888955116272,0.5,0.0,0.5600000023841858,0.35333332419395447,0.4000000059604645
shredding,10,8,18,0.75,0.55,1.0,0.4444444477558136,0.0,0.6666666865348816,0.6153846383094788,0.4273504316806793,0.550000011920929
mincing,3,17,35,0.6842105388641357,0.5263157894736842,1.0,0.48571428656578064,0.0,0.5777778029441833,0.6538461446762085,0.410541296005249,0.5263158082962036
mincing,18,0,18,0.550000011920929,0.425,0.0,0.0,0.6363636255264282,0.5,0.0,0.3787878751754761,0.42500001192092896
roasting,13,3,19,0.6000000238418579,0.5,1.0,0.15789473056793213,0.0,0.6666666865348816,0.27272728085517883,0.31313133239746094,0.5
roasting,4,11,18,0.824999988079071,0.475,1.0,0.6111111044883728,0.3636363744735718,0.2222222238779068,0.7586206793785095,0.448159784078598,0.4749999940395355
